Transaction ID,Payer Name,Receiver Name,Transaction Details,Amount,Receiver Country
TXN042,Synergy Holdings,CoreTech Systems,Renewable tech development,380000,Germany
TXN043,GreenPoint Global,PlanetTrust Inc.,Environmental awareness campaign,450000,UK
TXN044,Bright Horizon Inc.,SkyLine Industries,Real estate urbanization,960000,Canada
TXN045,Vertex Partners,TrailBlaze Ventures,Market innovation funding,710000,India
TXN046,Digital Edge,SmartBuild Co.,Smart infrastructure tech,870000,Japan
TXN047,NextStep Logistics,QuickMove Systems,Vehicle fleet upgrade,620000,Singapore
TXN048,FutureTech Solutions,Visionary Minds,Aerial drones research,450000,Brazil
TXN049,Global Ventures,Innovation Stream,AI operational analytics,330000,Netherlands
TXN050,EcoGreen Inc.,SolarTrust Co.,Sustainability funding,910000,USA
TXN051,CoreStream Partners,Dynamo Systems,Data handling upgrades,290000,China
TXN052,TrailBlaze Inc.,BrightField LLC,Renewable energy outreach,670000,Germany
TXN053,Digital Nexus,AeroCompute Ltd.,AI-powered logistics tech,850000,UK
TXN054,Visionary Point LLC,BlueSkies Partners,Atmospheric observation tech,290000,Australia
TXN055,NextPath Inc.,Rapid Innovators,Drone technology enhancement,500000,Japan
TXN056,Startify Labs,BrightBuild Systems,Tech urbanization funding,870000,Singapore
TXN057,Fusion Ventures,Efficient Movers,Operational streamlining funds,330000,Brazil
TXN058,CoreFocus Inc.,EcoSystems Group,Sustainable agriculture research,720000,Canada
TXN059,EcoWorld Industries,PlanetGreen Solutions,Solar panel deployment,880000,Germany
TXN060,UrbanImpact Partners,BridgePoint Co.,Smart urbanization investment,790000,India
TXN061,TrailBlaze Enterprises,EcoSystems Partners,Sustainability research,480000,USA
TXN062,NextEra Holdings,SmartWorld Ltd.,Urban mobility tech,650000,UK
TXN063,CoreStream Partners,PlanetGreen Co.,Environmental tech innovation,710000,Brazil
TXN064,Bright Ventures,Vertex Innovators,Advanced AI solutions,920000,Germany
TXN065,FusionCorp,UrbanImpact Systems,Urban infrastructure project,570000,India
TXN066,GreenTech Inc.,Blue Horizons Group,Renewable energy installations,630000,Japan
TXN067,Digital Edge,SmartBuild Partners,Smart housing initiative,820000,Singapore
TXN068,Quantum Nexus,InnoFly Systems,Drone technology funding,720000,Australia
TXN069,Visionary Minds,EcoSmart Inc.,Sustainable energy research,590000,Canada
TXN070,CoreFocus Global,PathStream Ventures,Operational analytics fund,330000,Netherlands
TXN071,Future Foundry,SkyLine Ventures,High-tech logistics upgrades,280000,France
TXN072,NextPath Innovations,UltraBuild Systems,IoT infrastructure funding,890000,China
TXN073,BridgeTech Partners,Apex Solutions Group,Market expansion analysis,410000,Japan
TXN074,GreenEdge Enterprises,SmartEco Co.,Eco-friendly tech development,940000,UK
TXN075,Bright Horizons,EcoFusion Ltd.,Green innovation fund,760000,Brazil
TXN076,EcoWorld Inc.,UrbanTrail Systems,Solar housing expansion,610000,Germany
TXN077,Vertex Holdings,CoreCompute LLC,Advanced machine learning,830000,India
TXN078,Dynamo Corp.,RapidLogistics Ltd.,Supply chain reengineering,490000,Singapore
TXN079,TrailBlaze Partners,Efficient Movers Co.,Fleet expansion fund,290000,Australia
TXN080,Startify Labs,UrbanSolve LLC,Urban problem-solving tech,750000,USA
TXN081,Future Focus Ltd.,Green Horizons Corp.,Eco-friendly logistics,890000,UK
TXN082,NextEra Holdings,Solar Fusion LLC,Solar tech funding,490000,Germany
TXN083,Dynamo Innovations,UrbanSolve Systems,Smart city planning,320000,India
TXN084,BridgePoint Partners,Apex Vision Co.,High-tech market research,760000,USA
TXN085,GreenPoint Corp.,EcoTrail Systems,Green energy deployment,870000,Brazil
TXN086,Bright Ventures,SolarEdge Ltd.,Renewable housing initiative,560000,Japan
TXN087,CoreFund Global,FutureFly Partners,Drone market analysis,450000,Canada
TXN088,Quantum Holdings,SmartEco Inc.,Eco-conscious tech research,650000,Australia
TXN089,NextGen Partners,Visionary Stream,System optimization,710000,Netherlands
TXN090,EcoWorld Corp.,BrightBuild Systems,Solar urbanization investment,830000,Singapore
TXN091,Pioneer Impact Ltd.,Rapid Innovators,Operational streamlining fund,480000,China
TXN092,TrailBlaze Enterprises,Efficient Movers Co.,Fleet innovation funding,750000,Germany
TXN093,Digital Edge,SmartWorld LLC,IoT research deployment,520000,India
TXN094,BridgePoint Ventures,AeroTrack Systems,Advanced drone technology,880000,USA
TXN095,Vertex Holdings,UrbanImpact Inc.,Smart urbanization fund,340000,UK
TXN096,EcoSolutions Partners,SolarTrust Co.,Solar panel installations,290000,Japan
TXN097,GreenEdge Inc.,FutureFly Systems,Sustainable city development,650000,Brazil
TXN098,Bright Horizons,CoreCompute LLC,Cloud tech innovation,710000,Singapore
TXN099,Future Ventures,Vertex Labs,AI-driven analytics funding,900000,Australia
TXN100,Dynamo Partners,BridgeTech Ltd.,Infrastructure upgrade fund,820000,Canada
TXN101,CoreFocus Ventures,Green Horizons Co.,Eco-friendly logistics expansion,870000,Germany
TXN102,Pioneer Innovations,UrbanSolve Partners,Smart infrastructure funds,430000,India
TXN103,TrailBlaze Corp.,BrightField Co.,Renewable energy exploration,520000,Brazil
TXN104,FutureTech Holdings,BridgePoint LLC,Market development analysis,660000,Japan
TXN105,Global Ventures,EcoFusion Partners,Sustainability tech fund,890000,USA
TXN106,NextEra Logistics,SolarStream Co.,Solar energy outreach,290000,Australia
TXN107,EcoSolutions Inc.,Efficient Movers Co.,Operational efficiency upgrades,490000,Singapore
TXN108,BridgeTech Global,UrbanImpact Partners,Urban renewal funding,740000,UK
TXN109,Quantum Nexus,AeroTrack Ltd.,Drone tech innovation funding,610000,Brazil
TXN110,Visionary Minds,GreenEdge Systems,Sustainable energy project,820000,Canada
TXN111,Fusion Ventures,CoreCompute Co.,Cloud analytics development,900000,Germany
TXN112,Startify Labs,NextPoint Partners,IoT infrastructure planning,530000,India
TXN113,TrailBlaze Enterprises,SolarCycle Inc.,Renewable tech deployment,370000,Netherlands
TXN114,Digital Nexus,UrbanTrail Partners,Sustainable housing expansion,850000,USA
TXN115,Future Focus Inc.,BrightBuild Co.,Tech urbanization funds,610000,Singapore
TXN116,EcoFusion Ventures,PlanetGreen Systems,Environmental renewal projects,480000,UK
TXN117,CoreStream Partners,EfficientTransport Co.,Supply chain innovation,720000,Australia
TXN118,Startify Innovations,SolarTrust Global,Solar infrastructure investment,590000,Germany
TXN119,UrbanSolve Ltd.,FutureFly Co.,Drone project enhancement,870000,Brazil
TXN120,BridgePoint Inc.,CoreFocus Systems,Operational streamlining funds,430000,Canada
TXN121,Vertex Partners,Green Horizons Co.,Sustainability initiatives,650000,India
TXN122,Fusion Ventures,SmartBuild Partners,Smart infrastructure planning,890000,Brazil
TXN123,Quantum Nexus,Efficient Movers Co.,Operational logistics funds,420000,Germany
TXN124,EcoSolutions Inc.,SolarFusion Ltd.,Solar project expansion,710000,USA
TXN125,Pioneer Impact Ltd.,UrbanSolve Systems,Urban renewal investment,560000,UK
TXN126,Startify Labs,TrailBlaze Ventures,High-tech innovation,590000,Australia
TXN127,Future Horizons,EcoFusion Co.,Green tech expansion,480000,Canada
TXN128,CoreFocus Innovations,PlanetGreen Systems,Sustainability research fund,740000,Netherlands
TXN129,TrailBlaze Enterprises,BrightField Inc.,Renewable energy outreach,610000,Japan
TXN130,GreenPoint Ventures,SkyLine Partners,Urban expansion project,850000,Singapore
TXN131,NextEra Holdings,EfficientTransport Co.,Supply chain optimization,390000,Brazil
TXN132,BridgeTech Global,UrbanImpact Ltd.,Smart urbanization planning,940000,Germany
TXN133,Digital Nexus,SolarTrust Global,Solar tech deployment,810000,India
TXN134,Visionary Minds,FutureFly Systems,Drone tech development,430000,USA
TXN135,Fusion Ventures,CoreCompute Co.,Advanced AI analytics,520000,UK
TXN136,Startify Labs,Vertex Solutions,High-tech infrastructure,680000,Australia
TXN137,UrbanSolve Partners,EcoFusion Inc.,Eco-friendly tech research,760000,Canada
TXN138,NextPath Ventures,SmartEco Co.,Sustainability funding,610000,Brazil
TXN139,EcoWorld Inc.,BrightBuild Ltd.,Urban housing initiatives,330000,Germany
TXN140,Pioneer Ventures,BridgePoint Solutions,Market analysis funding,580000,Singapore
TXN141,GreenEdge Inc.,Efficient Movers Co.,Sustainable logistics funding,790000,India
TXN142,Fusion Ventures,SolarTrust Global,Renewable energy deployment,620000,USA
TXN143,Quantum Holdings,EcoFusion Systems,Green tech expansion,840000,UK
TXN144,UrbanSolve Partners,BridgePoint Co.,Urban infrastructure projects,670000,Australia
TXN145,Digital Edge,CoreCompute Inc.,Cloud technology innovation,490000,Germany
TXN146,Pioneer Logistics,NextPoint Systems,Supply chain management,850000,Brazil
TXN147,Startify Labs,Vertex Partners,Advanced IoT solutions,540000,Netherlands
TXN148,Future Horizons,SmartEco Inc.,Eco-friendly tech funding,710000,Canada
TXN149,EcoWorld Global,UrbanImpact Co.,Urban tech development,360000,Japan
TXN150,GreenPoint Corp.,BrightField Solutions,Sustainability initiatives,810000,Singapore
TXN151,FusionCorp,SolarStream Ltd.,Solar energy funding,290000,India
TXN152,BridgeTech Ventures,EfficientTransport LLC,Logistics upgrades,580000,Australia
TXN153,Quantum Nexus,TrailBlaze Enterprises,Advanced AI deployment,920000,USA
TXN154,CoreFocus Innovations,EcoFusion Systems,Sustainable agriculture,450000,UK
TXN155,TrailBlaze Corp.,NextEra Logistics,Supply chain modernization,750000,Canada
TXN156,Startify Partners,BrightBuild Ltd.,Smart housing projects,670000,Brazil
TXN157,Fusion Ventures,CoreCompute LLC,Deep learning research,820000,Germany
TXN158,GreenEdge Inc.,PlanetGreen Solutions,Renewable tech innovation,740000,Japan
TXN159,Dynamo Enterprises,SolarTrust Co.,Solar panel funding,410000,Singapore
TXN160,EcoSolutions Partners,UrbanTrail Systems,Sustainable urbanization,600000,Netherlands
TXN161,BridgeTech Corp.,NextEra Ventures,Supply chain modernization,880000,Canada
TXN162,CoreFocus Ltd.,EcoFusion Partners,Sustainable logistics funding,520000,India
TXN163,Quantum Holdings,SolarStream Inc.,Renewable energy research,410000,UK
TXN164,Startify Labs,UrbanTrail Co.,Smart urbanization funding,710000,USA
TXN165,Fusion Ventures,EcoSolutions Ltd.,Green tech innovation,860000,Germany
TXN166,GreenEdge Global,CoreCompute Systems,Cloud infrastructure development,530000,Brazil
TXN167,Dynamo Enterprises,Vertex Partners,High-tech analytics research,620000,Australia
TXN168,NextPath Ventures,SolarTrust Co.,Solar infrastructure projects,390000,Netherlands
TXN169,TrailBlaze Innovations,Efficient Movers Ltd.,Operational upgrades,750000,Canada
TXN170,Digital Edge,UrbanImpact Partners,Urban tech expansion,890000,Singapore
TXN171,Pioneer Logistics,BrightField Systems,Sustainable energy initiative,660000,India
TXN172,Future Horizons,CoreFocus Co.,IoT system planning,420000,Germany
TXN173,GreenPoint Partners,SolarCycle Systems,Solar tech funding,870000,USA
TXN174,EcoWorld Inc.,UrbanSolve Ltd.,Urban renewal development,590000,Brazil
TXN175,BridgePoint Enterprises,NextPoint Group,Supply chain exploration,710000,Japan
TXN176,Fusion Ventures,EfficientTransport LLC,Transport tech upgrade,800000,Australia
TXN177,Quantum Nexus,SmartEco Ventures,Sustainability tech outreach,490000,Netherlands
TXN178,CoreFocus Partners,SolarTrust Global,Renewable energy advancements,340000,Singapore
TXN179,TrailBlaze Corp.,EcoFusion Systems,Environmental tech funding,740000,India
TXN180,Digital Nexus,CoreCompute Solutions,AI-driven operational efficiency,650000,Canada
TXN181,FusionCorp,Efficient Movers Co.,Logistics tech funding,520000,UK
TXN182,Pioneer Ventures,SolarTrust Ltd.,Renewable housing project,750000,Germany
TXN183,GreenPoint Inc.,UrbanTrail Systems,Urban mobility innovation,860000,India
TXN184,Digital Edge,CoreCompute Partners,Cloud analytics projects,940000,USA
TXN185,NextEra Logistics,BrightField Inc.,Tech expansion funding,620000,Australia
TXN186,BridgeTech Enterprises,Vertex Solutions,Supply chain enhancements,590000,Netherlands
TXN187,EcoSolutions Inc.,SmartEco Co.,Sustainability outreach projects,430000,Canada
TXN188,UrbanSolve Ventures,EcoFusion Ltd.,Green urbanization funding,800000,Brazil
TXN189,TrailBlaze Partners,FutureFly Systems,Drone tech deployment,670000,Japan
TXN190,CoreFocus Innovations,SolarTrust Co.,Solar panel research projects,880000,Singapore
TXN191,Quantum Nexus,NextPoint Ventures,IoT project development,390000,India
TXN192,Visionary Minds,UrbanImpact Ltd.,Urban tech exploration,450000,Germany
TXN193,Digital Nexus,BrightBuild Systems,Smart housing developments,710000,USA
TXN194,Startify Labs,SolarStream Global,Renewable energy programs,360000,Brazil
TXN195,Fusion Ventures,CoreCompute Co.,AI-powered analytics,820000,Australia
TXN196,GreenEdge Inc.,TrailBlaze Systems,Sustainable logistics upgrades,490000,UK
TXN197,Pioneer Logistics,EcoFusion Ventures,Environmental tech innovation,740000,Japan
TXN198,BridgePoint Corp.,Efficient Movers Ltd.,Logistics optimization fund,680000,Netherlands
TXN199,NextPath Solutions,CoreFocus Partners,Operational analytics funding,560000,India
TXN200,TrailBlaze Enterprises,SolarTrust Global,Renewable energy advancements,610000,Canada

